modification.type,modification.ID,design.decision,expectation.tested,motivation.for.test,source,statistical.action.or.logging.necessary,requires.statistically.motivated.action,logging.in.known.remaining.dependencies,relative.overlap.fsmall.in.flarge.sufficient,over.19.samples.applicable.for.test,mu.plus.sigma.under.20,cohens.d.over.13,resulting.modification,relevant.features,resulting.added.features,is.added.feature.kept,resulting.removed.features,feature.1.for.test,feature.2.for.test,test,f1.equals.for.test,f1.unequals.for.test,f2.equals.for.test,f2.unequals.for.test,nr.lgs.f1,nr.lgs.f2,absolute.overlap.f1.f2,relative.overlap.fsmall.in.flarge,relative.overlap.flarge.in.fsmall,samples.disregarded.insufficient.lgs.applicable,samples.assessed,mean.d1.across.tested.samples,sd.d1.across.tested.samples,mean.plus.sd.d1.across.tested.samples,mean.d2.across.tested.samples,sd.d2.across.tested.samples,mean.plus.sd.d2.across.tested.samples,mean.baseline.1,mean.baseline.2,d1.baseline1.cohensd,d2.baseline2.cohensd,maximum.sum,minimum.cohensd,minimum.sum,maximum.cohensd
logical,L-POS-03,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB251m, GB253",GB253c,yes,GB253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-04,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB251m, GB254",GB254c,yes,GB254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-05,create meta-feature to keep track of an obvious overarching phenomenon (coding of adnominal possession on possessor) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB430, GB432",GB590m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-06,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB590m, GB430",GB430c,yes,GB430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-07,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB590m, GB432",GB432c,yes,GB432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-08,create meta-feature to keep track of an obvious overarching phenomenon (coding of adnominal possession on possessed noun) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB431, GB433",GB591m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-09,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB591m, GB431",GB431c,yes,GB431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-POS-10,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB591m, GB433",GB433c,yes,GB433,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-REL-1,create meta-feature to keep track of an obvious overarching phenomenon (relative clauses headed by an internal NP) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB329, GB330",GB606m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-REL-2,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB606m, GB329",GB329c,yes,GB329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-REL-3,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB606m, GB330",GB330c,yes,GB330,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-SAP-1,create meta-feature to keep track of an obvious overarching phenomenon (SAP-indexing) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB089, GB090, GB091, GB092, GB093, GB094",GB625m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-04,create meta-feature to keep track of an obvious overarching phenomenon (grammatical marking of evidentiality) to reduce downstream boosting of the absence of the phenomenon,,,,,,,,,,,"merging, meta-feature","GB322, GB323",GB595m,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-05,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB595m, GB322",GB322c,yes,GB322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-06,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB595m, GB323",GB323c,yes,GB323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-07,create meta-feature for downstream conditioning or statistical assessement purposes only,,,,,,,,,,,"merging, meta-feature","GB086, GB120, GB520, GB082, GB083, GB084, GB121, GB309, GB521, GB110",GB589m,no,GB589m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-08,create meta-feature to keep track of an obvious overarching phenomenon (morphological marking of tense) to reduce downstream boosting of the absence of the phenomenon – logical conditioning downstream of meta-feature creation,,,,,,,,,,,"merging, meta-feature;multiple conditioning (conservative)","GB777drm, GB557drm, GB082, GB083, GB084",GB580mcc,yes,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-09,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB580mcc, GB082",GB082c,yes,GB082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-10,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB580mcc, GB083",GB083c,yes,GB083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-11,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB580mcc, GB084",GB084c,yes,GB084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-15,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB557drm, GB309",GB309c,yes,GB309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-TAM-16,logical conditioning downstream of meta-feature creation,,,,,,,,,,,simple conditioning (conservative),"GB589m, GB110",GB110c,yes,GB110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logical,L-VER-1,create meta-feature for downstream conditioning or statistical assessement purposes only,,,,,,,,,,,"merging, meta-feature","GB089, GB090, GB091, GB092, GB093, GB094, GB086, GB312, GB082, GB083, GB084",GB770m,no,GB770m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statistical,S-ADP-1,,prepositions OR postpositions,,greenberg1963some;wals85,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB074c, GB075c",NA,NA,NA,GB074c,GB075c,OR,1,0,1,0,2010,1956,1913,0.9780163599,0.9517412935,0,500,0.37,0.07,0.44,0.17,0.04,0.21,0.22,0.62,1.5,6.2,0.44,1.5,0.21,6.2
statistical,S-ADP-2,,"IF NO adpositions, THEN morphological case","We expect most languages to use either adpositions or non-core case to mark oblique arguments, so that a lack of adpositions will correlate with the presence of (non-core) morphological case",,no,no,no,yes,yes,no,no,NA,"GB563m, GB480m",NA,NA,NA,GB563m,GB480m,THEN,0,1,1,0,2229,2246,2102,0.9430237775,0.9358860196,0,500,0.15,0.09,0.23,,,,0.24,,1.1,,0.23,1.1,0.23,1.1
statistical,S-AGR-1,,"IF agreement with noun in gender, THEN agreement with noun in number","Gender is less common than number overall, and if you agree with the uncommon thing (gender) you are likely to agree with the common thing (number); cf Greenberg 1963 U36 (extension)",greenberg1963some,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB560drmc, GB561drmc",GB560drmcC,yes,GB560drmc,GB560drmc,GB561drmc,THEN,1,0,1,0,804,1581,704,0.8756218905,0.4452877925,0,500,0.1,0.04,0.14,,,,0.27,,3.8,,0.14,3.8,0.14,3.8
statistical,S-AGR-2,,"IF agreement of article with noun, THEN agreement of demonstrative with noun","Articles frequently historically derive from demonstratives, and demonstratives are more common in languages overall, so we expect the properties of articles to frequently be a subset of the properties of demonstratives",,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB569drmc, GB568drm",GB569drmcC,yes,GB569drmc,GB569drmc,GB568drm,THEN,1,0,1,0,878,1960,814,0.9271070615,0.4153061224,0,500,0.1,0.09,0.19,,,,0.49,,4.4,,0.19,4.4,0.19,4.4
statistical,S-AGR-3,,"IF agreement of attributives with noun, THEN agreement of demonstrative with noun","Attributive agreement is less common than demonstrative agreement, so we expect agreement with the more common case (demonstratives) when it is present in the less common case (attributives)",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB567drm, GB568drm",NA,NA,NA,GB567drm,GB568drm,THEN,1,0,1,0,1941,1960,1818,0.9366306028,0.9275510204,0,500,0.26,0.06,0.32,,,,0.49,,4.7,,0.32,4.7,0.32,4.7
statistical,S-ANT-1,,morphological OR phonologically free antipassive,Note this relationship is near-logical given the rareness of antipassive constructions and that extended exponence was possibly not searched for,,"yes, modification",yes,yes,yes,yes,yes,yes,"merging, exclusion of both and neither (feature1 vs. feature2)","GB148c, GB303c",GB556EO,yes,"GB148c, GB303c",GB148c,GB303c,OR,1,0,1,0,172,147,146,0.9931972789,0.8488372093,347,153,0,0,0,0,0,0,0.87,0.11,19.8,3.1,0,3.1,0,19.8
statistical,S-APP-1,,"IF instrumental applicative marker, THEN benefactive applicative marker","Benefactives are more common (give, write to, etc) than the use of instrumental applicatives, so we expect instrumental applicatives to be a later addition to a large set of valence changing operations. Also, according to WALS chapter 109, it is common for the same applicative morpheme to be used for both benefactives and instruments, while dedicated instrumental applicatives are rare",wals109,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB104, GB103",NA,NA,NA,GB104,GB103,THEN,1,0,1,0,1989,2048,1913,0.9617898441,0.9340820313,0,500,0.23,0.1,0.34,,,,0.63,,3.9,,0.34,3.9,0.34,3.9
statistical,S-APP-2,,"IF locative or directional marking on the verb, THEN benefactive applicative marker","According to WALS chapter 109, it is common for the same applicative morpheme to be used for both benefactives and locatives, while dedicated locative applicatives are rare",wals109,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB108, GB103",NA,NA,NA,GB108,GB103,THEN,1,0,1,0,2105,2048,1907,0.9311523438,0.9059382423,0,500,0.45,0.06,0.51,,,,0.63,,3.9,,0.51,3.9,0.51,3.9
statistical,S-APP-3,,"IF locative or directional applicative marker, THEN verbal affixes or clitics that turn intransitive verbs into transitive ones",Applicatives are valency changing mechanisms and they can turn intransitive verbs into transitive if applicable to intransitive verbs,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB108, GB113",NA,NA,NA,GB108,GB113,THEN,1,0,1,0,2105,1871,1727,0.9230358097,0.8204275534,0,500,0.23,0.05,0.28,,,,0.34,,2.4,,0.28,2.4,0.28,2.4
statistical,S-APP-4,,"IF benefactive applicative marker, THEN verbal affixes or clitics that turn intransitive verbs into transitive ones",Applicatives are valency changing mechanisms and they can turn intransitive verbs into transitive if applicable to intransitive verbs,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB103, GB113",NA,NA,NA,GB103,GB113,THEN,1,0,1,0,2048,1871,1704,0.9107429182,0.83203125,0,500,0.25,0.06,0.31,,,,0.34,,1.6,,0.31,1.6,0.31,1.6
statistical,S-APP-5,,"IF instrumental applicative marker, THEN verbal affixes or clitics that turn intransitive verbs into transitive ones",Applicatives are valency changing mechanisms and they can turn intransitive verbs into transitive if applicable to intransitive verbs,,no,no,no,yes,yes,no,no,NA,"GB104, GB113",NA,NA,NA,GB104,GB113,THEN,1,0,1,0,1989,1871,1660,0.8872260823,0.8345902464,0,500,0.23,0.1,0.33,,,,0.34,,1.1,,0.33,1.1,0.33,1.1
statistical,S-APP-6-C,,"IF locative or directional marking on the verb, THEN causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones)",,,no,no,no,yes,yes,yes,no,NA,"GB108, GB155C",NA,NA,NA,GB108,GB155C,THEN,1,0,1,0,2105,1269,1154,0.9093774626,0.5482185273,0,500,0.1,0.05,0.15,,,,0.09,,0.3,,0.15,0.3,0.15,0.3
statistical,S-APP-6-O,,"IF locative or directional marking on the verb, THEN causatives formed by affixes or clitics on verbs","Causatives are more common than applicatives, so we expect applicatives to be a later addition to the set of valence changing operations",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,yes,NA,"GB108, GB155",NA,NA,NA,GB108,GB155,THEN,1,0,1,0,2105,2051,1838,0.8961482204,0.8731591449,0,500,0.24,0.05,0.29,,,,0.3,,1.5,,0.29,1.5,0.29,1.5
statistical,S-APP-7a-C,,"IF benefactive applicative marker, THEN causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones)",,,no,no,no,yes,yes,yes,no,NA,"GB103, GB155C",NA,NA,NA,GB103,GB155C,THEN,1,0,1,0,2048,1269,1146,0.9030732861,0.5595703125,0,500,0.13,0.06,0.2,,,,0.09,,0.9,,0.2,0.9,0.2,0.9
statistical,S-APP-7a-O,,"IF benefactive applicative marker, THEN causatives formed by affixes or clitics on verbs","Causatives are more common than applicatives, so we expect applicatives to be a later addition to the set of valence changing operations",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,yes,NA,"GB103, GB155",NA,NA,NA,GB103,GB155,THEN,1,0,1,0,2048,2051,1824,0.890625,0.8893222818,0,500,0.23,0.06,0.29,,,,0.3,,1.3,,0.29,1.3,0.29,1.3
statistical,S-APP-7b-C,,"IF NO causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones), THEN NO benefactive applicative marker",,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB103, GB155C",NA,NA,NA,GB155C,GB103,THEN,0,1,0,1,1269,2048,1146,0.9030732861,0.5595703125,1,499,0.67,0.22,0.89,,,,0.37,,1.4,,0.89,1.4,0.89,1.4
statistical,S-APP-7b-O,,"IF NO causatives formed by affixes or clitics on verbs, THEN NO benefactive applicative marker","Causatives are the most common way of adding an argument, and applicatives are less common. Thus, if a language lacks the common argument-adding morphological strategy (a morphological causative), then it is unlikely to have the less common argument-adding morphological strategy (a morphological applicative)",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,yes,NA,"GB103, GB155",NA,NA,NA,GB155,GB103,THEN,0,1,0,1,2051,2048,1824,0.890625,0.8893222818,0,500,0.29,0.07,0.36,,,,0.37,,1.3,,0.36,1.3,0.36,1.3
statistical,S-APP-8-C,,"IF NO causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones), THEN NO instrumental applicative marker",,,no,no,no,yes,yes,no,no,NA,"GB104, GB155C",NA,NA,NA,GB155C,GB104,THEN,0,1,0,1,1269,1989,1107,0.8723404255,0.556561086,11,489,0.2,0.21,0.4,,,,0.15,,0.2,,0.4,0.2,0.4,0.2
statistical,S-APP-8-O,,"IF NO causatives formed by affixes or clitics on verbs, THEN NO instrumental applicative marker","Causatives are more common than applicatives, so we expect applicatives to be a later addition to the set of valence changing operations.",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,yes,yes,yes,yes,yes,yes,NA,"GB104, GB155",NA,NA,NA,GB155,GB104,THEN,0,1,0,1,2051,1989,1776,0.8929110106,0.8659190639,0,500,0.08,0.05,0.12,,,,0.15,,1.7,,0.12,1.7,0.12,1.7
statistical,S-ART-1,,"IF indefinite article, THEN definite article","cf Becker 2021, Chapter 9",becker2021articles,no,no,no,yes,yes,no,no,NA,"GB021c, GB020c",NA,NA,NA,GB021c,GB020c,THEN,1,0,1,0,951,999,924,0.9716088328,0.9249249249,0,500,0.33,0.13,0.47,,,,0.2,,1.2,,0.47,1.2,0.47,1.2
statistical,S-ART-2,,prenominal article OR postnominal article,"Most of the time we expect all articles to be in the same position in a language, cf category clustering (Mansfield et al., 2020)",mansfield2020category,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB023c, GB022c",NA,NA,NA,GB023c,GB022c,OR,1,0,1,0,1005,1004,984,0.9800796813,0.9791044776,0,500,0.21,0.08,0.29,0.2,0.08,0.28,0.44,0.45,1.8,1.9,0.29,1.8,0.28,1.9
statistical,S-ATT-1,,"IF attributes behave as verbs when used attributively, THEN they behave as verbs when used predicatively","We expect attributives to have consistent part-of-speech properties, but we also expect when many parts of speech are used predicatively, they acquire verbal properties. Thus, verbal properties in an attributive position should imply verbal properties in a predicative position.",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB069, GB068",NA,NA,NA,GB069,GB068,THEN,1,0,1,0,1858,1949,1678,0.9031216362,0.8609543356,0,500,0.14,0.07,0.21,,,,0.56,,6.2,,0.21,6.2,0.21,6.2
statistical,S-ATT-2,,"IF adnominal property words can be discontinuous, THEN morphological case","The GB026 chapter description details that languages that allow for discontinuous adnominal property words typically show extensive agreement systems, which can be expressed by gender and/or mophological case",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB026, GB480m",NA,NA,NA,GB026,GB480m,THEN,1,0,1,0,1771,2246,1700,0.9599096556,0.7569011576,0,500,0.42,0.11,0.52,,,,0.24,,1.8,,0.52,1.8,0.52,1.8
statistical,S-ATT-3-C,,"IF adnominal property words can be discontinuous, THEN gender (conditioned on number)",,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB026, GB551mC",NA,NA,NA,GB026,GB551mC,THEN,1,0,1,0,1771,1652,1245,0.7536319613,0.7029926595,0,500,0.16,0.14,0.29,,,,0.46,,2.3,,0.29,2.3,0.29,2.3
statistical,S-ATT-3-O,,"IF adnominal property words can be discontinuous, THEN gender","The GB026 chapter description details that languages that allow for discontinuous adnominal property words typically show extensive agreement systems, which can be expressed by gender and/or mophological case",,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,yes,NA,"GB026, GB551m",NA,NA,NA,GB026,GB551m,THEN,1,0,1,0,1771,2054,1545,0.8723884811,0.7521908471,0,500,0.15,0.11,0.26,,,,0.49,,3.1,,0.26,3.1,0.26,3.1
statistical,S-ATT-4,,"IF adnominal property words can be discontinuous, THEN adnominal property word can agree with the noun at all (in gender/noun class and/or number)","The GB026 chapter description details that languages that allow for discontinuous adnominal property words typically show extensive agreement systems, which can be expressed by gender and/or mophological case and/or number",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB026, GB567drm",NA,NA,NA,GB026,GB567drm,THEN,1,0,1,0,1771,1941,1512,0.8537549407,0.7789799073,3,497,0.25,0.15,0.4,,,,0.54,,2.1,,0.4,2.1,0.4,2.1
statistical,S-CAS-01,,"IF non-pronominal case for arguments, THEN pronominal case for arguments","Many languages have morphological case only for pronouns, while having morphological case only for nouns is rare",comrie1989language[131],"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB553drmc, GB549drmc",GB553drmcC,yes,GB553drmc,GB553drmc,GB549drmc,THEN,1,0,1,0,1480,1424,1382,0.970505618,0.9337837838,0,500,0.11,0.03,0.14,,,,0.09,,2.6,,0.14,2.6,0.14,2.6
statistical,S-CAS-02,,"IF case for core arguments, THEN case for oblique arguments",Many languages have morphological case only for oblique arguments. Having morphological case only for core arguments is rare,wals49,"yes, modification",yes,yes,yes,yes,yes,yes,statistically motivated conditioning (conservative),"GB888drmc, GB887drmc",GB888drmcC,yes,GB888drmc,GB888drmc,GB887drmc,THEN,1,0,1,0,1480,1464,1422,0.9713114754,0.9608108108,0,500,0.08,0.03,0.11,,,,0.06,,2.4,,0.11,2.4,0.11,2.4
statistical,S-CLA-1,,"IF demonstrative classifiers, THEN numeral classifiers",Numeral classifiers are the most common type of classifier,,no,no,no,yes,yes,no,no,NA,"GB038c, GB057c",NA,NA,NA,GB038c,GB057c,THEN,1,0,1,0,519,552,516,0.9942196532,0.9347826087,3,497,0.33,0.25,0.58,,,,0.08,,1.2,,0.58,1.2,0.58,1.2
statistical,S-CLA-2-C,,classifiers OR nominal gender (conditioned on number),,,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB552m, GB551mC",NA,NA,NA,GB552m,GB551mC,OR,1,0,1,0,2062,1652,1474,0.892251816,0.7148399612,0,500,0.47,0.11,0.58,0.17,0.05,0.23,0.46,0.82,0.1,8.2,0.58,0.1,0.23,8.2
statistical,S-CLA-2-O,,classifiers OR nominal gender,,corbett1991gender[137],this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also,no,yes,yes,yes,no,no,NA,"GB552m, GB551m",NA,NA,NA,GB552m,GB551m,OR,1,0,1,0,2062,2054,1812,0.88218111,0.8787584869,0,500,0.42,0.1,0.53,0.16,0.05,0.21,0.49,0.82,0.5,8.9,0.53,0.5,0.21,8.9
statistical,S-CLU-1,,clause chaining OR serial verb construction,"Serial verb constructions are defined in Grambank as only coordinating the verb, while clause chaining coordinates clauses. We expect most languages to have one strategy or the other",,"yes, but only for one of the OR dimensions, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB150, GB118",NA,NA,NA,GB150,GB118,OR,1,0,1,0,1519,1590,1242,0.8176431863,0.7811320755,0,500,0.46,0.1,0.56,0.33,0.08,0.41,0.6,0.72,1.1,3.6,0.56,1.1,0.41,3.6
statistical,S-COP-01,,"IF verb-initial, THEN no copula",,carnie1995non,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB131, GB117",NA,NA,NA,GB131,GB117,THEN,1,0,0,1,2348,2029,1970,0.9709216363,0.839011925,0,500,0.28,0.09,0.37,,,,0.54,,2.9,,0.37,2.9,0.37,2.9
statistical,S-CPA-1a-C,,surpass/exceed OR locational (corresponding state from merged feature),,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB265, GB900EO",NA,NA,NA,GB265,GB900EO,OR,1,0,marker of standard with elsewhere locational meaning,"neither, conjoined clauses",1283,1196,1136,0.9498327759,0.8854247857,0,500,0.14,0.1,0.24,0.09,0.06,0.15,0.65,0.77,3.9,7.4,0.24,3.9,0.15,7.4
statistical,S-CPA-1a-O,,surpass/exceed OR locational,Single strategy may be expected,,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,no,yes,yes,yes,no,yes,NA,"GB265, GB266",NA,NA,NA,GB265,GB266,OR,1,0,1,0,1283,1252,1203,0.9608626198,0.9376461419,0,500,0.15,0.1,0.25,0.1,0.07,0.17,0.65,0.77,3.7,6.9,0.25,3.7,0.17,6.9
statistical,S-CPA-1b,,surpass/exceed OR standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning,Single strategy may be expected,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB265, GB273",NA,NA,NA,GB265,GB273,OR,1,0,1,0,1283,1239,1196,0.9652945924,0.9321901793,0,500,0.18,0.11,0.29,0.12,0.07,0.19,0.66,0.77,3.5,6.4,0.29,3.5,0.19,6.4
statistical,S-CPA-1c-C,,comparative construction that employs a marker of the standard which elsewhere has a locational meaning (corresponding state from merged feature) OR comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning,,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB900EO, GB273",NA,NA,NA,GB900EO,GB273,OR,marker of standard with elsewhere locational meaning,"neither, conjoined clauses",1,0,1196,1239,1129,0.9439799331,0.9112187248,0,500,0.16,0.07,0.24,0.18,0.08,0.26,0.66,0.65,4.5,4.2,0.26,4.2,0.24,4.5
statistical,S-CPA-1c-O,,comparative construction that employs a marker of the standard which elsewhere has a locational meaning OR comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning,Single strategy may be expected,,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,no,yes,yes,yes,no,yes,NA,"GB266, GB273",NA,NA,NA,GB266,GB273,OR,1,0,1,0,1252,1239,1195,0.9644874899,0.9544728435,0,500,0.16,0.07,0.24,0.18,0.08,0.25,0.66,0.65,4.5,4.3,0.25,4.3,0.24,4.5
statistical,S-CPA-2,,bound degree marker OR non-bound degree marker,Single strategy may be expected,,"yes, modification",yes,yes,yes,yes,yes,yes,"merging, exclusion of both and neither (feature1 vs. feature2)","GB275c, GB276c",GB800EO,yes,"GB275c, GB276c",GB275c,GB276c,OR,1,0,1,0,631,636,613,0.971473851,0.963836478,0,500,0.09,0.08,0.18,0.07,0.07,0.14,0.4,0.53,2.3,3.5,0.18,2.3,0.14,3.5
statistical,S-CPA-4,,comparative degree marker on property word OR comparative construction with form elsewhere meaning surpass/exceed,"We expect the degree notion to be expressed once in a comparative construction. Of course, it is possible for a language to have multiple comparison constructions, and in this case, the association would be weakened.",,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,no,tendency logged in known.remaining.dependencies,"GB800m, GB265",NA,NA,NA,GB800m,GB265,OR,1,0,1,0,1304,1283,1204,0.9384255651,0.9233128834,0,500,0.17,0.07,0.24,0.35,0.13,0.47,0.77,0.53,5.7,1.2,0.47,1.2,0.24,5.7
statistical,S-CPA-5,,comparative construction with form elsewhere meaning locational OR conjoined,different states in WALS chapter 121,wals121,"yes, modification",yes,yes,yes,yes,yes,yes,"merging, exclusion of both (neither vs. feature1 vs. feature2)","GB266, GB270",GB900EO,yes,"GB266, GB270",GB266,GB270,OR,1,0,1,0,1252,1219,1157,0.9491386382,0.9241214058,0,500,0.06,0.05,0.11,0.09,0.09,0.18,0.79,0.65,9.8,4.9,0.18,4.9,0.11,9.8
statistical,S-CPA-6-C,,comparative construction with form elsewhere meaning neither locational nor surpass/exceed OR conjoined  (corresponding state from merged feature),,,"yes, tendency logged in known.remaining.dependencies",no,yes,yes,yes,no,yes,tendency logged in known.remaining.dependencies,"GB273, GB900EO",NA,NA,NA,GB273,GB900EO,OR,1,0,conjoined clauses,"neither, marker of standard with elsewhere locational meaning",1239,1196,1129,0.9439799331,0.9112187248,0,500,0.09,0.06,0.16,0.16,0.11,0.27,0.81,0.66,8.1,3.6,0.27,3.6,0.16,8.1
statistical,S-CPA-6-O,,comparative construction with form elsewhere meaning neither locational nor surpass/exceed OR conjoined,different states in WALS chapter 121,wals121,this test involves a feature that is modified due to statistical conditioning; the corresponding test with the conditioned feature is performed also.,no,yes,yes,yes,no,yes,NA,"GB273, GB270",NA,NA,NA,GB273,GB270,OR,1,0,1,0,1239,1219,1149,0.9425758819,0.9273607748,0,500,0.1,0.06,0.16,0.16,0.1,0.26,0.79,0.66,7.9,3.8,0.26,3.8,0.16,7.9
