original.names,new.name,description,original.features,design.logical,design.logical.statistical,modification.IDs,associated.modification.IDs.without.resulting.action,known.remaining.dependencies.after.statistical.treatment,networks.of.dependencies,recode.operation.type,condition.human.readable,condition.if.feature.conditioned,recode.operation.Rcode,original.states,new.states,recode.pattern,grouping
GB148,GB148,Is there a morphological antipassive marked on the lexical verb?,TRUE,FALSE,FALSE,L-ANT-2,L-ANT-1,,,include without modification,none,,,,,,NA
GB148,GB148c,"Is there a morphological antipassive marked on the lexical verb, if there is antipassive voice at all?",FALSE,TRUE,FALSE,S-ANT-1;L-ANT-2,,,,recode group 5 (simple conditioning),if antipassive voice present,GB556m == 1,,,,,Grammar_other
GB149,GB149,Is there a morphologically marked inverse on verbs?,TRUE,TRUE,FALSE,S-SAP-14-C,S-SAP-14-O,,,include without modification,none,,,,,,Grammatical_categories
GB149,GB149C,"Is there a morphologically marked inverse on verbs, if there is affixal/clitic SAP-indexing at all (conditioned on morphologcial TAM)?",FALSE,FALSE,TRUE,S-SAP-14-C,,,,recode group 5 (simple conditioning),if any SAP arguments indexed on the verb in the simple main clause at all (conditioned on TAM),GB625mC == 1,,,,,Grammatical_categories
GB150,GB150,Is there clause chaining?,TRUE,TRUE,TRUE,,S-CLU-1,S-CLU-1,,include without modification,none,,,,,,Grammar_other
GB151,GB151,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?",TRUE,TRUE,TRUE,,S-SAP-18-O;S-SAP-18-C;S-SAP-16,,isolating/affixing,include without modification,none,,,,,,Grammatical_categories
GB152,GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammatical_categories
GB155,GB155,Are causatives formed by affixes or clitics on verbs?,TRUE,TRUE,FALSE,S-CST-1,S-APP-6-O;S-APP-7a-O;S-APP-7b-O;S-APP-8-O,,,include without modification,none,,,,,,Grammar_other
GB155,GB155C,"Are causatives formed by affixes or clitics on verbs, if there are verbal affixes or clitics that turn intransitive verbs into transitive ones?",FALSE,FALSE,TRUE,S-CST-1,S-APP-6-C;S-APP-7a-C;S-APP-7b-C;S-APP-8-C,S-APP-7b-C,,recode group 5 (simple conditioning),if there are verbal affixes or clitics that turn intransitive verbs into transitive ones,GB113 == 1,,,,,Grammar_other
GB156,GB156,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_other
GB158,GB158,Are verbs reduplicated?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_other
GB159,GB159,Are nouns reduplicated?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_other
GB160,GB160,Are elements apart from verbs or nouns reduplicated?,TRUE,FALSE,FALSE,D-RED-1,,,,include without modification,none,,,,,,NA
GB165,GB165,Is there productive morphological trial marking on nouns?,TRUE,FALSE,FALSE,D-NUM-04;D-NUM-08,L-NUM-01,,,include without modification,none,,,,,,NA
GB166,GB166,Is there productive morphological paucal marking on nouns?,TRUE,FALSE,FALSE,D-NUM-05;D-NUM-08,L-NUM-01,,,include without modification,none,,,,,,NA
GB167,GB167,Is there a logophoric pronoun?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammatical_categories
GB170,GB170,Can an adnominal property word agree with the noun in gender/noun class?,TRUE,FALSE,FALSE,D-AGR-APW;D-AGR-GEN-1,L-GEN-01,,,include without modification,none,,,,,,NA
GB171,GB171,Can an adnominal demonstrative agree with the noun in gender/noun class?,TRUE,FALSE,FALSE,D-AGR-ADD;D-AGR-GEN-1,L-GEN-01,,,include without modification,none,,,,,,NA
GB172,GB172,Can an article agree with the noun in gender/noun class?,TRUE,FALSE,FALSE,D-AGR-ART;D-AGR-GEN-1,L-ART-1;L-GEN-01,,,include without modification,none,,,,,,NA
GB177,GB177,"Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?",TRUE,TRUE,TRUE,,S-SAP-05-O;S-SAP-05-C,,isolating/affixing,include without modification,none,,,,,,Grammatical_categories
GB184,GB184,Can an adnominal property word agree with the noun in number?,TRUE,FALSE,FALSE,D-AGR-APW;D-AGR-NUM,L-NUM-01,,,include without modification,none,,,,,,NA
GB185,GB185,Can an adnominal demonstrative agree with the noun in number?,TRUE,FALSE,FALSE,D-AGR-ADD;D-AGR-NUM,L-NUM-01,,,include without modification,none,,,,,,NA
GB186,GB186,Can an article agree with the noun in number?,TRUE,FALSE,FALSE,D-AGR-ART;D-AGR-NUM,L-ART-1;L-NUM-01,,,include without modification,none,,,,,,NA
GB187,GB187,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,TRUE,FALSE,FALSE,D-DIA-1;D-DIA-4,,,,include without modification,none,,,,,,NA
GB188,GB188,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,TRUE,FALSE,FALSE,D-DIA-2;D-DIA-4,,,,include without modification,none,,,,,,NA
GB192,GB192,Is there a gender system where a noun's phonological properties are a factor in class assignment?,TRUE,FALSE,FALSE,L-GEN-09,L-GEN-01,,,include without modification,none,,,,,,NA
GB192,GB192c,"Is there a gender system where a noun's phonological properties are a factor in class assignment, if there is a gender/noun class system at all?",FALSE,TRUE,TRUE,L-GEN-09,,,nominal classification factors,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB193,GB193,What is the order of adnominal property word and noun?,TRUE,FALSE,FALSE,D-WOO-4,,,,include without modification,none,,,,,,NA
GB193,GB193e,What is the order of adnominal property word and noun (excluding the intermediate/mixed state)?,FALSE,TRUE,FALSE,D-WOO-4;S-WOO-04,S-WOO-03-O;S-WOO-05-O;S-WOO-08-O;S-WOO-AGR-1,,,recode group 1 (simple recode),none,,,1 1;2 2;3 3;4 0;5 ?,1;2;NA;?,1-2-3/4-5,Grammar_linear_order
GB196,GB196,Is there a male/female distinction in 2nd person independent pronouns?,TRUE,TRUE,FALSE,S-PRO-GEN-1,,,,include without modification,none,,,,,,Grammatical_categories
GB196,GB196C,"Is there a male/female distinction in 2nd person independent pronouns, if there is a gender distinction in independent 3rd person pronouns?",FALSE,FALSE,TRUE,S-PRO-GEN-1,S-PRO-GEN-3,S-PRO-GEN-3,,recode group 5 (simple conditioning),if there is a gender distinction in independent 3rd person pronouns,GB030 == 1,,,,,Grammatical_categories
GB197,GB197,Is there a male/female distinction in 1st person independent pronouns?,TRUE,TRUE,FALSE,S-PRO-GEN-2,,,,include without modification,none,,,,,,Grammatical_categories
GB197,GB197C,"Is there a male/female distinction in 1st person independent pronouns, if there is a gender distinction in independent 3rd person pronouns?",FALSE,FALSE,TRUE,S-PRO-GEN-2,S-PRO-GEN-3,S-PRO-GEN-3,,recode group 7 (simple conditioning [conditioned feature]),if there is a gender distinction in independent 3rd person pronouns,GB030 == 1,,,,,Grammatical_categories
GB198,GB198,Can an adnominal numeral agree with the noun in gender/noun class?,TRUE,FALSE,FALSE,L-AGR-GEN-2,L-GEN-01;D-AGR-GEN-1,,,include without modification,none,,,,,,NA
GB198,GB198c,"Can an adnominal numeral agree with the noun in gender/noun class, if NP elements can agree with the noun in gender/noun class at all?",FALSE,TRUE,TRUE,L-AGR-GEN-2,,,,recode group 5 (simple conditioning),if NP element agreement with noun in gender/noun class present,GB560drmc == 1,,,,,Grammar_other
GB203,GB203,What is the order of the adnominal collective universal quantifier ('all') and the noun?,TRUE,FALSE,FALSE,D-WOO-5,,,,include without modification,none,,,,,,NA
GB203,GB203e,"What is the order of the adnominal collective universal quantifier (""all"") and the noun (excluding the intermediate/mixed state)?",FALSE,TRUE,TRUE,D-WOO-5,,,word order,recode group 1 (simple recode),none,,,1 1;2 2;3 3;4 0;5 ?,1;2;NA;?,1-2-3/4-5,Grammar_linear_order
GB204,GB204,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_other
GB250,GB250,Can predicative possession be expressed with a transitive 'habeo' verb?,TRUE,TRUE,TRUE,,S-POS-2,S-POS-2,possession,include without modification,none,,,,,,Lexical_semantics
GB252&GB253&GB254,GB251m,Can predicative possession be expressed with an oblique-coded possessor at all?,FALSE,TRUE,TRUE,L-POS-01,L-POS-02;L-POS-03;L-POS-04,,possession,recode group 2 (merge features - recode via logical arguments),none,,"1 GB252 == ""0"" & GB253 == ""0"" & GB254 == ""0"";2 GB252 == ""1"";3 GB253 == ""1"";4 GB254 == ""1"";5 ((GB252 == ""0"" & GB253 == ""0"" & GB254 == ""0"") | (GB252 == ""1"") | (GB253 == ""1"") | (GB254 == ""1"")) == F",,0;1;?,1-2/3/4-5,Grammar_other
GB252,GB252,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,TRUE,FALSE,FALSE,L-POS-02,L-POS-01,,,include without modification,none,,,,,,NA
GB252,GB252c,"Can predicative possession be expressed with an S-like possessum and a locative-coded possessor, if predicative possession can be expressed with an oblique-coded possessor at all?",FALSE,TRUE,TRUE,L-POS-02,S-POS-1a;S-POS-1b;S-POS-CAS-2,S-POS-1a;S-POS-1b,possession,recode group 5 (simple conditioning),if predicative possession be expressed with an S-like possessum and an oblique-coded possessor,GB251m == 1,,,,,Grammar_other
GB253,GB253,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,TRUE,FALSE,FALSE,L-POS-03,L-POS-01,,,include without modification,none,,,,,,NA
GB253,GB253c,"Can predicative possession be expressed with an S-like possessum and a dative-coded possessor, if predicative possession can be expressed with an oblique-coded possessor at all?",FALSE,TRUE,TRUE,L-POS-03,S-POS-1a;S-POS-1c;S-POS-CAS-3,S-POS-1c;S-POS-1a,possession,recode group 5 (simple conditioning),if predicative possession be expressed with an S-like possessum and an oblique-coded possessor,GB251m == 1,,,,,Grammar_other
GB254,GB254,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,TRUE,FALSE,FALSE,L-POS-04,L-POS-01,,,include without modification,none,,,,,,NA
GB254,GB254c,"Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor, if predicative possession can be expressed with an oblique-coded possessor at all?",FALSE,TRUE,TRUE,L-POS-04,S-POS-1b;S-POS-1c;S-POS-CAS-4,S-POS-1c;S-POS-1b,possession,recode group 5 (simple conditioning),if predicative possession be expressed with an S-like possessum and an oblique-coded possessor,GB251m == 1,,,,,Grammar_other
GB256,GB256,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,TRUE,TRUE,TRUE,,S-POS-2,S-POS-2,possession,include without modification,none,,,,,,Grammar_other
GB257,GB257,Can polar interrogation be marked by intonation only?,TRUE,TRUE,TRUE,,S-POL-08;S-POL-09;S-POL-10;S-POL-12,S-POL-10;S-POL-12;S-POL-09;S-POL-08,polar interrogation,include without modification,none,,,,,,Grammar_other
GB260,GB260,Can polar interrogation be indicated by a special word order?,TRUE,TRUE,TRUE,,S-POL-11;S-POL-12;S-POL-04;S-POL-13,S-POL-04;S-POL-13;S-POL-12;S-POL-11,polar interrogation,include without modification,none,,,,,,Grammar_linear_order
GB262,GB262,Is there a clause-initial polar interrogative particle?,TRUE,FALSE,FALSE,L-POL-7,L-POL-3,,,include without modification,none,,,,,,NA
GB262,GB262c,"Is there a clause-initial polar interrogative particle, if there is a polar interrogative particle at all?",FALSE,TRUE,TRUE,L-POL-7,S-POL-01a;S-POL-01b;S-WOO-12;S-POL-WOO-2,S-POL-01a;S-WOO-12;S-POL-01b,polar interrogation;word order,recode group 5 (simple conditioning),if polar interrogative particles present,GB950m == 1,,,,,Grammar_linear_order
GB263,GB263,Is there a clause-final polar interrogative particle?,TRUE,FALSE,FALSE,L-POL-8,L-POL-3,,,include without modification,none,,,,,,NA
GB263,GB263c,"Is there a clause-final polar interrogative particle, if there is a polar interrogative particle at all?",FALSE,TRUE,TRUE,L-POL-8,S-POL-01b;S-POL-01c;S-WOO-13,S-POL-01c;S-POL-01b,polar interrogation;word order,recode group 5 (simple conditioning),if polar interrogative particles present,GB950m == 1,,,,,Grammar_linear_order
GB264,GB264,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,TRUE,FALSE,FALSE,L-POL-9,L-POL-3,,,include without modification,none,,,,,,NA
GB264,GB264c,"Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally, if there is a polar interrogative particle at all?",FALSE,TRUE,TRUE,L-POL-9,S-POL-01a;S-POL-01c,S-POL-01a;S-POL-01c,polar interrogation;word order,recode group 5 (simple conditioning),if polar interrogative particles present,GB950m == 1,,,,,Grammar_linear_order
GB265,GB265,"Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?",TRUE,TRUE,TRUE,,S-CPA-1a-O;S-CPA-1a-C;S-CPA-1b;S-CPA-4;S-CPA-7-O;S-CPA-7-C,S-CPA-1b;S-CPA-4;S-CPA-7-C;S-CPA-1a-C,comparatives,include without modification,none,,,,,,Grammar_other
GB266,GB266,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,TRUE,TRUE,FALSE,S-CPA-5,S-CPA-1a-O;S-CPA-1c-O,,,include without modification,none,,,,,,Grammar_other
GB270,GB270,Can comparatives be expressed using two conjoined clauses?,TRUE,TRUE,FALSE,S-CPA-5,S-CPA-6-O;S-CPA-7-O;S-CPA-8-O,,,include without modification,none,,,,,,Grammar_other
GB273,GB273,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?,TRUE,TRUE,TRUE,,S-CPA-1b;S-CPA-1c-O;S-CPA-1c-C;S-CPA-6-O;S-CPA-6-C,S-CPA-1b;S-CPA-6-C;S-CPA-1c-C,comparatives,include without modification,none,,,,,,Grammar_other
GB275,GB275,Is there a bound comparative degree marker on the property word in a comparative construction?,TRUE,FALSE,FALSE,L-CPA-2,L-CPA-1,,,include without modification,none,,,,,,NA
GB275,GB275c,"Is there a bound comparative degree marker on the property word in a comparative construction, if there is a comparative degree marker at all?",FALSE,TRUE,FALSE,S-CPA-2;L-CPA-2,,,,recode group 5 (simple conditioning),if comparative degree markers present,GB800m == 1,,,,,Grammar_other
GB276,GB276,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,TRUE,FALSE,FALSE,L-CPA-3,L-CPA-1,,,include without modification,none,,,,,,NA
GB276,GB276c,"Is there a non-bound comparative degree marker modifying the property word in a comparative construction, if there is a comparative degree marker at all?",FALSE,TRUE,FALSE,S-CPA-2;L-CPA-3,,,,recode group 5 (simple conditioning),if comparative degree markers present,GB800m == 1,,,,,Grammar_other
GB285,GB285,Can polar interrogation be marked by a question particle and verbal morphology?,TRUE,FALSE,FALSE,L-POL-6,L-POL-1;L-POL-2;L-POL-3,,,include without modification,none,,,,,,NA
GB285,GB285cc,"Can polar interrogation be marked by a question particle and verbal morphology, if there is a polar interrogative particle and if polar interrogation can be marked via segmental verbal morphology at all?",FALSE,TRUE,TRUE,L-POL-6,S-POL-02,S-POL-02,polar interrogation,recode group 6 (multiple conditioning),if polar interrogative particles present and if polar ingerrogation can be marked with segmental verbal morphology,GB950m == 1 & GB947mc == 1,,,,,Grammar_other
GB286,GB286,Can polar interrogation be indicated by overt verbal morphology only?,TRUE,FALSE,FALSE,L-POL-4,L-POL-1;L-POL-2,,,include without modification,none,,,,,,NA
GB286,GB286c,"Can polar interrogation be indicated by overt verbal morphology only, if polar interrogation can be marked via segmental verbal morphology at all?",FALSE,TRUE,TRUE,L-POL-4,S-POL-02,S-POL-02,polar interrogation,recode group 5 (simple conditioning),if polar ingerrogation can be marked with segmental verbal morphology,GB947mc == 1,,,,,Grammar_other
GB291,GB291,Can polar interrogation be marked by tone?,TRUE,FALSE,FALSE,L-POL-5,L-POL-1,,,include without modification,none,,,,,,NA
GB291,GB291c,"Can polar interrogation be marked by tone, if polar interrogation can be marked via verbal morphology at all?",FALSE,TRUE,TRUE,L-POL-5,S-POL-05,S-POL-05,polar interrogation,recode group 5 (simple conditioning),if polar interrogation be marked via verbal morphology (segmental or tonal) at all,GB949m == 1,,,,,Grammar_other
GB296,GB296,Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Lexical_classes
GB297,GB297,Can polar interrogation be indicated by a V-not-V construction?,TRUE,TRUE,TRUE,,S-POL-06;S-POL-08;S-POL-04;S-POL-07,S-POL-04;S-POL-07;S-POL-08;S-POL-06,polar interrogation,include without modification,none,,,,,,Grammar_other
GB298,GB298,"Can standard negation be marked by an inflecting word (""auxiliary verb"")?",TRUE,TRUE,TRUE,,S-NEG-1c;S-NEG-1a,S-NEG-1c;S-NEG-1a,negation,include without modification,none,,,,,,Grammar_other
GB299,GB299,"Can standard negation be marked by a non-inflecting word (""particle"")?",TRUE,TRUE,TRUE,,S-NEG-1c;S-NEG-1b,S-NEG-1c,negation,include without modification,none,,,,,,Grammar_other
GB300,GB300,Does the verb for 'give' have suppletive verb forms?,TRUE,TRUE,TRUE,,S-SUP-1-C,S-SUP-1-C,,include without modification,none,,,,,,Grammar_other
GB301,GB301,Is there an inclusory construction?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_other
GB302,GB302,"Is there a phonologically free passive marker (""particle"" or ""auxiliary"")?",TRUE,FALSE,FALSE,L-PAS-3,L-PAS-1,,,include without modification,none,,,,,,NA
GB302,GB302c,"Is there a phonologically free passive marker (""particle"" or ""auxiliary""), if there is passive voice at all?",FALSE,TRUE,TRUE,L-PAS-3,S-PAS-1,S-PAS-1,isolating/affixing,recode group 5 (simple conditioning),if passive voice present,GB555m == 1,,,,,Grammar_other
GB303,GB303,"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary"")?",TRUE,FALSE,FALSE,L-ANT-3,L-ANT-1,,,include without modification,none,,,,,,NA
GB303,GB303c,"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary""), if there is antipassive voice at all?",FALSE,TRUE,FALSE,S-ANT-1;L-ANT-3,,,,recode group 5 (simple conditioning),if antipassive voice present,GB556m == 1,,,,,Grammar_other
GB304,GB304,Can the agent be expressed overtly in a passive clause?,TRUE,FALSE,FALSE,L-PAS-4,L-PAS-1,,,include without modification,none,,,,,,NA
GB304,GB304c,"Can the agent be expressed overtly in a passive clause, if there is passive voice at all?",FALSE,TRUE,TRUE,L-PAS-4,,,,recode group 5 (simple conditioning),if passive voice present,GB555m == 1,,,,,Grammar_other
GB305,GB305,Is there a phonologically independent reflexive pronoun?,TRUE,FALSE,FALSE,D-REF-1;D-REF-4,,,,include without modification,none,,,,,,NA
GB306,GB306,Is there a phonologically independent non-bipartite reciprocal pronoun?,TRUE,FALSE,FALSE,D-REF-2;D-REF-4,,,,include without modification,none,,,,,,NA
GB309,GB309,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?",TRUE,FALSE,FALSE,L-TAM-15,D-TAM-01;L-TAM-07,,,include without modification,none,,,,,,NA
GB309,GB309c,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference, if there is tense at all?",FALSE,TRUE,TRUE,L-TAM-15,,,,recode group 5 (simple conditioning),if tense marking present,GB557drm == 1,,,,,Grammatical_categories
GB312,GB312,Is there overt morphological marking on the verb dedicated to mood?,TRUE,FALSE,FALSE,D-TAM-02;D-TAM-12,L-VER-1,,,include without modification,none,,,,,,NA
GB313,GB313,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,TRUE,TRUE,TRUE,,S-PRO-CAS-1,,,include without modification,none,,,,,,Grammar_other
GB314,GB314,Can augmentative meaning be expressed productively by a shift of gender/noun class?,TRUE,FALSE,FALSE,L-GEN-06,D-DIA-1;D-DIA-3;L-GEN-01,,,include without modification,none,,,,,,NA
GB314,GB314c,"Can augmentative meaning be expressed productively by a shift of gender/noun class, if there is a gender/noun class system at all?",FALSE,FALSE,FALSE,D-DIA-1;D-DIA-3;L-GEN-06,,,,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB315,GB315,Can diminutive meaning be expressed productively by a shift of gender/noun class?,TRUE,FALSE,FALSE,L-GEN-07,D-DIA-2;D-DIA-3;L-GEN-01,,,include without modification,none,,,,,,NA
GB315,GB315c,"Can diminutive meaning be expressed productively by a shift of gender/noun class, if there is a gender/noun class system at all?",FALSE,FALSE,FALSE,D-DIA-2;D-DIA-3;L-GEN-07,,,,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB316,GB316,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,TRUE,FALSE,FALSE,D-NUM-02;D-NUM-07,L-NUM-01,,,include without modification,none,,,,,,NA
GB317,GB317,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,TRUE,FALSE,FALSE,D-NUM-03;D-NUM-07,L-NUM-01,,,include without modification,none,,,,,,NA
GB318,GB318,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,TRUE,FALSE,FALSE,D-NUM-06;D-NUM-07,L-NUM-01,,,include without modification,none,,,,,,NA
GB319,GB319,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,TRUE,FALSE,FALSE,D-NUM-04;D-NUM-07,L-NUM-01,,,include without modification,none,,,,,,NA
GB320,GB320,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,TRUE,FALSE,FALSE,D-NUM-05;D-NUM-07,L-NUM-01,,,include without modification,none,,,,,,NA
GB321,GB321,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,TRUE,FALSE,FALSE,L-GEN-08,L-GEN-01,,,include without modification,none,,,,,,NA
GB321,GB321c,"Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable, if there is a gender/noun class system at all?",FALSE,TRUE,TRUE,L-GEN-08,,,nominal classification factors,recode group 5 (simple conditioning),if gender/noun class system present,GB551m == 1,,,,,Lexical_classes
GB322,GB322,Is there grammatical marking of direct evidence (perceived with the senses)?,TRUE,FALSE,FALSE,L-TAM-05,L-TAM-04,,,include without modification,none,,,,,,NA
GB322,GB322c,"Is there grammatical marking of direct evidence (perceived with the senses), if there is grammatical marking of evidence at all?",FALSE,TRUE,TRUE,L-TAM-05,S-TAM-1,S-TAM-1,,recode group 5 (simple conditioning),if grammatical marking of evidence present,GB595m == 1,,,,,Grammatical_categories
GB323,GB323,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?",TRUE,FALSE,FALSE,L-TAM-06,L-TAM-04,,,include without modification,none,,,,,,NA
GB323,GB323c,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.), if there is grammatical marking of evidence at all?",FALSE,TRUE,TRUE,L-TAM-06,S-TAM-1,S-TAM-1,,recode group 5 (simple conditioning),if grammatical marking of evidence present,GB595m == 1,,,,,Grammatical_categories
GB324,GB324,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?",TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_other
GB325,GB325,Is there a count/mass distinction in interrogative quantifiers?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Lexical_classes
GB326,GB326,Do (nominal) content interrogatives normally or frequently occur in situ?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammar_linear_order
GB327,GB327,Can the relative clause follow the noun?,TRUE,TRUE,TRUE,,S-REL-1;S-REL-5;S-WOO-01-O;S-WOO-01-C,,relative clauses;word order,include without modification,none,,,,,,Grammar_linear_order
GB328,GB328,Can the relative clause precede the noun?,TRUE,TRUE,FALSE,S-WOO-05-C;S-WOO-07,S-REL-1;S-REL-3;S-WOO-05-O;S-REL-2,S-REL-2,,include without modification,none,,,,,,Grammar_linear_order
GB329,GB329,Are there internally-headed relative clauses?,TRUE,FALSE,FALSE,L-REL-2,L-REL-1,,,include without modification,none,,,,,,NA
GB329,GB329c,"Are there internally-headed relative clauses, if there are relative clauses headed by an internal NP at all?",FALSE,TRUE,TRUE,L-REL-2,S-REL-2;S-REL-4a-O;S-REL-4b;S-REL-4a-C,S-REL-4a-C;S-REL-2,relative clauses,recode group 5 (simple conditioning),"if relative clauses can be headed by an internal NP, whether or not they require a pronoun in the main clause",GB606m == 1,,,,,Grammar_other
GB330,GB330,Are there correlative relative clauses?,TRUE,FALSE,FALSE,L-REL-3,L-REL-1,,,include without modification,none,,,,,,NA
GB330,GB330c,"Are there correlative relative clauses, if there are relative clauses headed by an internal NP at all?",FALSE,TRUE,TRUE,L-REL-3,S-REL-3;S-REL-4b;S-REL-4c-O;S-REL-4c-C,S-REL-4c-C,relative clauses,recode group 5 (simple conditioning),"if relative clauses can be headed by an internal NP, whether or not they require a pronoun in the main clause",GB606m == 1,,,,,Grammar_other
GB331,GB331,Are there non-adjacent relative clauses?,TRUE,TRUE,FALSE,S-REL-5,S-REL-4a-O;S-REL-4c-O,,,include without modification,none,,,,,,Grammar_other
GB331,GB331C,"Are there non-adjacent relative clauses, if the relative clause can follow the noun?",FALSE,FALSE,TRUE,S-REL-5,S-REL-4a-C;S-REL-4c-C,S-REL-4a-C;S-REL-4c-C,relative clauses,recode group 5 (simple conditioning),if relative clauses following the noun present,GB327 == 1,,,,,Grammar_other
GB333&GB336,GB332EON,Is the numeral system decimal or body-part tallying (or neither)?,FALSE,FALSE,TRUE,S-NUS-1,S-NUS-2-C;S-NUS-3-C,S-NUS-3-C,,recode group 2 (merge features - recode via logical arguments),none,,"1 GB333 == ""0"" & GB336 == ""0"";2 GB333 == ""1"" & GB336 %in% c(""?"", ""0"");3 GB336 == ""1"" & GB333 %in% c(""?"", ""0"");4 ((GB333 == ""0"" & GB336 == ""0"") | (GB333 == ""1"" & GB336 %in% c(""?"", ""0"")) | (GB336 == ""1"" & GB333 %in% c(""?"", ""0""))) == F",,neither;decimal system;body-part tallying system;?,1-2-3-4,Lexical_semantics
GB333,GB333,Is there a decimal numeral system?,TRUE,TRUE,FALSE,S-NUS-1,,,,include without modification,none,,,,,,Lexical_semantics
GB334,GB334,Is there synchronic evidence for any element of a quinary numeral system?,TRUE,TRUE,TRUE,,S-NUS-2-C,,,include without modification,none,,,,,,Lexical_semantics
GB335,GB335,Is there synchronic evidence for any element of a vigesimal numeral system?,TRUE,TRUE,TRUE,,S-NUS-3-C,S-NUS-3-C,,include without modification,none,,,,,,Lexical_semantics
GB336,GB336,Is there a body-part tallying system?,TRUE,TRUE,FALSE,S-NUS-1,,,,include without modification,none,,,,,,Lexical_semantics
GB400,GB400,"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?",TRUE,FALSE,FALSE,D-NEU-1,,,,include without modification,none,,,,,,NA
GB401,GB401,Is there a class of patient-labile verbs?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Lexical_classes
GB402,GB402,Does the verb for 'see' have suppletive verb forms?,TRUE,TRUE,TRUE,,S-SUP-2-C,,,include without modification,none,,,,,,Grammar_other
GB403,GB403,Does the verb for 'come' have suppletive verb forms?,TRUE,TRUE,TRUE,,S-SUP-3-C,S-SUP-3-C,,include without modification,none,,,,,,Grammar_other
GB408,GB408,Is there any accusative alignment of flagging?,TRUE,TRUE,TRUE,,,,alignment;alignment of flagging,include without modification,none,,,,,,Grammar_other
GB409,GB409,Is there any ergative alignment of flagging?,TRUE,TRUE,TRUE,,,,alignment;alignment of flagging,include without modification,none,,,,,,Grammar_other
GB410,GB410,Is there any neutral alignment of flagging?,TRUE,TRUE,TRUE,,,,alignment;alignment of flagging,include without modification,none,,,,,,Grammar_other
GB415,GB415,Is there a politeness distinction in 2nd person forms?,TRUE,TRUE,TRUE,,,,,include without modification,none,,,,,,Grammatical_categories
GB421,GB421,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?,TRUE,FALSE,FALSE,L-CPE-2,L-CPE-1,,,include without modification,none,,,,,,NA
